,Topics,Education,Technology & Society,Cities,Arts,Government & Power,Intellectual Endeavors,Philosophical
87,Claim: Many problems of modern society cannot be solved by laws and the legal system.Reason: Laws cannot change what is in people's hearts or minds.,0,0,0,0,0,0,0
88,Educators should take students' interests into account when planning the content of the courses they teach.,0,0,0,0,0,0,0
89,The primary goal of technological advancement should be to increase people's efficiency so that they have more leisure time.,0,0,0,0,0,0,0
90,"Educators should base their assessment of students' learning not on students' grasp of facts but on the ability to explain the ideas, trends, and concepts that those facts illustrate.",0,0,0,0,0,0,0
91,"Unfortunately, in contemporary society, creating an appealing image has become more important than the reality or truth behind that image.",0,0,0,0,0,0,0
92,The effectiveness of a country's leaders is best measured by examining the well-being of that country's citizens.,0,0,0,0,0,0,0
93,All parents should be required to volunteer time to their children's schools.,0,0,0,0,0,0,0
94,A nation should require all of its students to study the same national curriculum until they enter college.,0,0,0,0,0,0,0
95,Colleges and universities should require their students to spend at least one semester studying in a foreign country.,0,0,0,0,0,0,0
96,Educational institutions should actively encourage their students to choose fields of study in which jobs are plentiful.,0,0,0,0,0,0,0
97,People's behavior is largely determined by forces not of their own making.,0,0,0,0,0,0,0
98,Colleges and universities should require their students to spend at least one semester studying in a foreign country.,0,0,0,0,0,0,0
99,"Although innovations such as video, computers, and the Internet seem to offer schools improved methods for instructing students, these technologies all too often distract from real learning.",0,0,0,0,0,0,0
100,Universities should require every student to take a variety of courses outside the student's field of study.,0,0,0,0,0,0,0
101,The best ideas arise from a passionate interest in commonplace things.,0,0,0,0,0,0,0
102,"To be an effective leader, a public official must maintain the highest ethical and moral standards.",0,0,0,0,0,0,0
103,Claim: Imagination is a more valuable asset than experience.Reason: People who lack experience are free to imagine what is possible without the constraints of established habits and attitudes.,0,0,0,0,0,0,0
104,"In most professions and academic fields, imagination is more important than knowledge.",0,0,0,0,0,0,0
105,"To be an effective leader, a public official must maintain the highest ethical and moral standards.",0,0,0,0,0,0,0
106,Critical judgment of work in any given field has little value unless it comes from someone who is an expert in that field.,0,0,0,0,0,0,0
107,Some people believe that scientific discoveries have given us a much better understanding of the world around us. Others believe that science has revealed to us that the world is infinitely more complex than we ever realized.,0,0,0,0,0,0,0
108,Critical judgment of work in any given field has little value unless it comes from someone who is an expert in that field.,0,0,0,0,0,0,0
109,"In any profession—business, politics, education, government—those in power should step down after five years.",0,0,0,0,0,0,0
110,Requiring university students to take a variety of courses outside their major fields of study is the best way to ensure that students become truly educated.,0,0,0,0,0,0,0
111,"Claim: The surest indicator of a great nation is not the achievements of its rulers, artists, or scientists.Reason: The surest indicator of a great nation is actually the welfare of all its people.",0,0,0,0,0,0,0
112,Any leader who is quickly and easily influenced by shifts in popular opinion will accomplish little.,0,0,0,0,0,0,0
113,Government officials should rely on their own judgment rather than unquestioningly carry out the will of the people whom they serve.,0,0,0,0,0,0,0
114,A nation should require all of its students to study the same national curriculum until they enter college.,0,0,0,0,0,0,0
115,It is primarily in cities that a nation's cultural traditions are generated and preserved.,0,0,0,0,0,0,0
116,We can learn much more from people whose views we share than from people whose views contradict our own.,0,0,0,0,0,0,0
117,"When old buildings stand on ground that modern planners feel could be better used for modern purposes, modern development should be given precedence over the preservation of historic buildings.",0,0,0,0,0,0,0
118,"Claim: The surest indicator of a great nation must be the achievements of its rulers, artists, or scientists.Reason: Great achievements by a nation's rulers, artists, or scientists will ensure a good life for the majority of that nation's people.",0,0,0,0,0,0,0
119,"Some people claim that you can tell whether a nation is great by looking at the achievements of its rulers, artists, or scientists. Others argue that the surest indicator of a great nation is, in fact, the general welfare of all its people.",0,0,0,0,0,0,0
120,The best way to understand the character of a society is to examine the character of the men and women that the society chooses as its heroes or its role models.,0,0,0,0,0,0,0
121,"The best way for a society to prepare its young people for leadership in government, industry, or other fields is by instilling in them a sense of cooperation, not competition.",0,0,0,0,0,0,0
122,All college and university students would benefit from spending at least one semester studying in a foreign country.,0,0,0,0,0,0,0
123,Some people claim that a nation's government should preserve its wilderness areas in their natural state. Others argue that these areas should be developed for potential economic gain.,0,0,0,0,0,0,0
124,"In most professions and academic fields, imagination is more important than knowledge.",0,0,0,0,0,0,0
125,"The surest indicator of a great nation is not the achievements of its rulers, artists, or scientists, but the general well-being of all its people.",0,0,0,0,0,0,0
126,"Some people argue that successful leaders in government, industry, or other fields must be highly competitive. Other people claim that in order to be successful, a leader must be willing and able to cooperate with others.",0,0,0,0,0,0,0
127,College students should base their choice of a field of study on the availability of jobs in that field.,0,0,0,0,0,0,0
128,"Some people believe that corporations have a responsibility to promote the well-being of the societies and environments in which they operate. Others believe that the only responsibility of corporations, provided they operate within the law, is to make as much money as possible.",0,0,0,0,0,0,0
129,"Claim: Researchers should not limit their investigations to only those areas in which they expect to discover something that has an immediate, practical application.Reason: It is impossible to predict the outcome of a line of research with any certainty.",0,0,0,0,0,0,0
130,Some people believe that our ever-increasing use of technology significantly reduces our opportunities for human interaction. Other people believe that technology provides us with new and better ways to communicate and connect with one another.,0,0,0,0,0,0,0
131,Claim: Knowing about the past cannot help people to make important decisions today.Reason: The world today is significantly more complex than it was even in the relatively recent past.,0,0,0,0,0,0,0
132,Claim: Knowing about the past cannot help people to make important decisions today.Reason: We are not able to make connections between current events and past events until we have some distance from both.,0,0,0,0,0,0,0
133,Educational institutions should actively encourage their students to choose fields of study that will prepare them for lucrative careers.,0,0,0,0,0,0,0
134,Educational institutions should actively encourage their students to choose fields of study in which jobs are plentiful.,0,0,0,0,0,0,0
135,Educational institutions have a responsibility to dissuade students from pursuing fields of study in which they are unlikely to succeed.,0,0,0,0,0,0,0
136,Some people believe that competition for high grades motivates students to excel in the classroom. Others believe that such competition seriously limits the quality of real learning.,0,0,0,0,0,0,0
137,Claim: Major policy decisions should always be left to politicians and other government experts.Reason: Politicians and other government experts are more informed and thus have better judgment and perspective than do members of the general public.,0,0,0,0,0,0,0
138,Some people believe that universities should require every student to take a variety of courses outside the student's field of study. Others believe that universities should not force students to take any courses other than those that will help prepare them for jobs in their chosen fields.,0,0,0,0,0,0,0
139,It is more harmful to compromise one's own beliefs than to adhere to them.,0,0,0,0,0,0,0
140,Claim: Colleges and universities should specify all required courses and eliminate elective courses in order to provide clear guidance for students.Reason: College students—like people in general—prefer to follow directions rather than make their own decisions.,0,0,0,0,0,0,0
141,No field of study can advance significantly unless it incorporates knowledge and experience from outside that field.,0,0,0,0,0,0,0
142,True success can be measured primarily in terms of the goals one sets for oneself.,0,0,0,0,0,0,0
143,"The general welfare of a nation's people is a better indication of that nation's greatness than are the achievements of its rulers, artists, or scientists.",0,0,0,0,0,0,0
144,The best test of an argument is the argument's ability to convince someone with an opposing viewpoint.,0,0,0,0,0,0,0
145,The effectiveness of a country's leaders is best measured by examining the well-being of that country's citizens.,0,0,0,0,0,0,0
146,Nations should pass laws to preserve any remaining wilderness areas in their natural state.,0,0,0,0,0,0,0
147,"In any field—business, politics, education, government—those in power should be required to step down after five years.",0,0,0,0,0,0,0
148,"Some people believe that corporations have a responsibility to promote the well-being of the societies and environments in which they operate. Others believe that the only responsibility of corporations, provided they operate within the law, is to make as much money as possible.",0,0,0,0,0,0,0
149,Some people claim that the goal of politics should be the pursuit of an ideal. Others argue that the goal should be finding common ground and reaching reasonable consensus.,0,0,0,0,0,0,0
150,The best way to solve environmental problems caused by consumer-generated waste is for towns and cities to impose strict limits on the amount of trash they will accept from each household.,0,0,0,0,0,0,0
