,Topic,Education,Technology & Society,Cities,Arts,Government & Power,Intellectual Endeavors,Philosophical
19,Society should make efforts to save endangered species only if the potential extinction of those species is the result of human activities.,0,0,1,0,0,0,0
20,"Although innovations such as video, computers, and the Internet seem to offer schools improved methods for instructing students, these technologies all too often distract from real learning.",0,1,0,0,0,0,0
21,People who are the most deeply committed to an idea or policy are also the most critical of it.,0,0,1,0,0,0,0
22,Some people believe that government officials must carry out the will of the people they serve. Others believe that officials should base their decisions on their own judgment.,0,1,0,0,0,0,0
23,The best ideas arise from a passionate interest in commonplace things.,0,0,1,0,0,0,0
24,Politicians should pursue common ground and reasonable consensus rather than elusive ideals.,0,1,0,0,0,0,0
25,"To understand the most important characteristics of a society, one must study its major cities.",1,1,0,0,0,0,0
26,There is little justification for society to make extraordinary efforts—especially at a great cost in money and jobs—to save endangered animal or plant species.,0,0,1,0,0,0,0
27,Competition for high grades seriously limits the quality of learning at all levels of education.,0,1,0,0,0,0,0
28,Some people believe that scientific discoveries have given us a much better understanding of the world around us. Others believe that science has revealed to us that the world is infinitely more complex than we ever realized.,1,0,0,0,0,0,0
29,"In order to become well-rounded individuals, all college students should be required to take courses in which they read poetry, novels, mythology, and other types of imaginative literature.",0,1,0,0,0,0,0
30,Educators should find out what students want included in the curriculum and then offer it to them.,0,1,0,0,0,0,0
31,Scandals are useful because they focus our attention on problems in ways that no speaker or reformer ever could.,0,0,0,0,1,0,0
32,Some people believe that college students should consider only their own talents and interests when choosing a field of study. Others believe that college students should base their choice of a field of study on the availability of jobs in that field.,0,1,0,0,0,0,0
33,"The surest indicator of a great nation is represented not by the achievements of its rulers, artists, or scientists, but by the general welfare of its people.",1,1,0,0,0,0,0
34,The increasingly rapid pace of life today causes more problems than it solves.,0,0,0,0,1,0,0
35,Knowing about the past cannot help people to make important decisions today.,0,0,0,0,0,1,0
36,The most effective way to understand contemporary culture is to analyze the trends of its youth.,1,1,0,0,0,0,0
37,Requiring university students to take a variety of courses outside their major fields of study is the best way to ensure that students become truly educated.,0,1,0,0,0,0,0
38,"Some people argue that successful leaders in government, industry, or other fields must be highly competitive. Other people claim that in order to be successful, a leader must be willing and able to cooperate with others.",0,0,0,1,0,0,0
39,"If a goal is worthy, then any means taken to attain it are justifiable.",1,0,0,0,0,0,0
40,Governments should offer college and university education free of charge to all students.,1,1,0,0,0,0,0
41,"The surest indicator of a great nation is not the achievements of its rulers, artists, or scientists, but the general well-being of all its people.",1,1,0,0,0,0,0
42,"In order for any work of art—for example, a film, a novel, a poem, or a song—to have merit, it must be understandable to most people.",0,1,0,0,0,0,0
43,It is primarily through our identification with social groups that we define ourselves.,1,1,0,0,0,0,0
44,Any leader who is quickly and easily influenced by shifts in popular opinion will accomplish little.,0,1,0,0,0,0,0
45,"Some people claim that you can tell whether a nation is great by looking at the achievements of its rulers, artists, or scientists. Others argue that the surest indicator of a great nation is, in fact, the general welfare of all its people.",1,1,0,0,0,0,0
46,True success can be measured primarily in terms of the goals one sets for oneself.,0,0,1,0,0,0,0
47,The main benefit of the study of history is to dispel the illusion that people living now are significantly different from people who lived in earlier times.,0,0,0,0,0,1,0
48,Scientists and other researchers should focus their research on areas that are likely to benefit the greatest number of people.,0,0,1,0,0,0,0
49,Leaders are created by the demands that are placed on them.,0,1,0,0,0,0,0
50,"Some people believe that in order to thrive, a society must put its own overall success before the well-being of its individual citizens. Others believe that the well-being of a society can only be measured by the general welfare of all its people.",0,0,1,0,0,0,0
51,Educational institutions should dissuade students from pursuing fields of study in which they are unlikely to succeed.,0,1,0,0,0,0,0
52,"Nations should pass laws to preserve any remaining wilderness areas in their natural state, even if these areas could be developed for economic gain.",1,1,0,0,0,0,0
53,Some people believe that our ever-increasing use of technology significantly reduces our opportunities for human interaction. Other people believe that technology provides us with new and better ways to communicate and connect with one another.,1,0,0,0,0,0,0
54,"In any situation, progress requires discussion among people who have contrasting points of view.",0,1,0,0,0,0,0
55,"The best way for a society to prepare its young people for leadership in government, industry, or other fields is by instilling in them a sense of cooperation, not competition.",0,0,0,1,0,0,0
56,"In any field of endeavor, it is impossible to make a significant contribution without first being strongly influenced by past achievements within that field.",0,0,0,0,0,1,0
57,Some people believe that government funding of the arts is necessary to ensure that the arts can flourish and be available to all people. Others believe that government funding of the arts threatens the integrity of the arts.,1,1,0,0,0,0,0
58,Learning is primarily a matter of personal discipline; students cannot be motivated by school or college alone.,0,1,0,0,0,0,0
59,The well-being of a society is enhanced when many of its people question authority.,0,0,1,0,0,0,0
60,People should undertake risky action only after they have carefully considered its consequences.,0,0,1,0,0,0,0
61,Society should identify those children who have special talents and provide training for them at an early age to develop their talents.,0,0,1,0,0,0,0
62,"Unfortunately, in contemporary society, creating an appealing image has become more important than the reality or truth behind that image.",0,0,0,0,1,0,0
63,"Governments should place few, if any, restrictions on scientific research and development.",1,1,0,0,0,0,0
64,"Some people believe it is often necessary, even desirable, for political leaders to withhold information from the public. Others believe that the public has a right to be fully informed.",0,1,0,0,0,0,0
65,It is no longer possible for a society to regard any living man or woman as a hero.,0,0,0,0,1,0,0
66,No field of study can advance significantly unless it incorporates knowledge and experience from outside that field.,1,0,0,0,0,0,0
67,Colleges and universities should require all faculty to spend time working outside the academic world in professions relevant to the courses they teach.,0,1,0,0,0,0,0
68,Formal education tends to restrain our minds and spirits rather than set them free.,0,1,0,0,0,0,0
69,The best way to understand the character of a society is to examine the character of the men and women that the society chooses as its heroes or its role models.,1,1,0,0,0,0,0
70,Governments should focus on solving the immediate problems of today rather than on trying to solve the anticipated problems of the future.,1,1,0,0,0,0,0
71,Governments should offer a free university education to any student who has been admitted to a university but who cannot afford the tuition.,1,1,0,0,0,0,0
72,"As we acquire more knowledge, things do not become more comprehensible, but more complex and mysterious.",1,0,0,0,0,0,0
73,"The best way to teach—whether as an educator, employer, or parent—is to praise positive actions and ignore negative ones.",0,1,0,0,0,0,0
74,General welfare of people as the surest indicator of a great nation (6),0,0,0,0,0,0,0
75,Claim: Knowing about the past cannot help people to make important decisions today.;Reason: The world today is significantly more complex than it was even in the relatively recent past.,0,0,0,0,0,0,0
76,Government and scientific research (2),0,0,0,0,0,0,0
77,"To be an effective leader, a public official must maintain the highest ethical and moral standards. (x2)",0,0,0,0,0,0,0
78,Government officials should rely on their own judgment rather than unquestioningly carry out the will of the people they serve.,0,0,0,0,0,0,0
79,"To be an effective leader, a public official must maintain the highest ethical and moral standards.",0,0,0,0,0,0,0
80,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.",0,0,0,0,0,0,0
81,"Claim: Researchers should not limit their investigations to only those areas in which they expect to discover something that has an immediate, practical application.Reason: It is impossible to predict the outcome of a line of research with any certainty.",0,0,0,0,0,0,0
82,A nation should require all of its students to study the same national curriculum until they enter college. (x3),0,0,0,0,0,0,0
83,People's behavior is largely determined by forces not of their own making.,0,0,0,0,0,0,0
84,Educational institutions should actively encourage their students to choose fields of study in which jobs are plentiful. (x2),0,0,0,0,0,0,0
85,Some people believe that universities should require every student to take a variety of courses outside the student’s field of study. Others believe that universities should not force students to take any courses other than those that will help prepare them for jobs in their chosen fields.,0,0,0,0,0,0,0
86,All parents should be required to volunteer time to their children’s schools. (x2),0,0,0,0,0,0,0
87,We can usually learn much more from people whose views we share than from people whose views contradict our own. (x2),0,0,0,0,0,0,0
88,The primary goal of technological advancement should be to increase people’s efficiency so that they have more leisure time.,0,0,0,0,0,0,0
89,"In any profession—business, politics, education, government—those in power should step down after five years.",0,0,0,0,0,0,0
90,"Claim: The surest indicator of a great nation must be the achievements of its rulers, artists, or scientists.Reason: Great achievements by a nation's rulers, artists, or scientists will ensure a good life for the majority of that nation's people.",0,0,0,0,0,0,0
91,Government and free education (2),0,0,0,0,0,0,0
92,It is more harmful to compromise one's own beliefs than to adhere to them.,0,0,0,0,0,0,0
93,Some people claim that a nation’s government should preserve its wilderness areas in their natural state. Others argue that these areas should be developed for potential economic gain.,0,0,0,0,0,0,0
94,"The general welfare of a nation's people is a better indication of that nation's greatness than are the achievements of its rulers, artists, or scientists.",0,0,0,0,0,0,0
95,Claim: Many problems of modern society cannot be solved by laws and the legal system. Reason: Laws cannot change what is in people’s hearts or minds.,0,0,0,0,0,0,0
96,Claim: Major policy decisions should always be left to politicians and other government experts.Reason: Politicians and other government experts are more informed and thus have better judgment and perspective than do members of the general public.,0,0,0,0,0,0,0
97,The effectiveness of a country's leaders is best measured by examining the well-being of that country's citizens.,0,0,0,0,0,0,0
98,"Claim: Researchers should not limit their investigations to only those areas in which they expect to discover something that has an immediate, practical application.;Reason: It is impossible to predict the outcome of a line of research with any certainty.",0,0,0,0,0,0,0
99,A nation should require all of its students to study the same national curriculum until they enter college.,0,0,0,0,0,0,0
100,"Claim: In any field—business, politics, education, government—those in power should step down after five years. Reason: The surest path to success for any enterprise is revitalization through new leadership. (x3)",0,0,0,0,0,0,0
101,Well-rounded (5),0,0,0,0,0,0,0
102,Environment vs economy (2),0,0,0,0,0,0,0
103,Competition (2),0,0,0,0,0,0,0
104,"Claim: When planning courses, educators should take into account the interests and suggestions of their students.Reason: Students are more motivated to learn when they are interested in what they are studying.",0,0,0,0,0,0,0
105,"Young people should be encouraged to pursue long-term, realistic goals rather than seek immediate fame and recognition.",0,0,0,0,0,0,0
106,"Claim: Nations should suspend government funding for the arts when significant numbers of their citizens are hungry or unemployed.Reason: It is inappropriate—and, perhaps, even cruel—to use public resources to fund the arts when people's basic needs are not being met.",0,0,0,0,0,0,0
107,human’s limit (2),0,0,0,0,0,0,0
108,Claim: Colleges and universities should specify all required courses and eliminate elective courses in order to provide clear guidance for students.Reason: College students—like people in general—prefer to follow directions rather than make their own decisions.,0,0,0,0,0,0,0
109,Educators should take students' interests into account when planning the content of the courses they teach.,0,0,0,0,0,0,0
110,Governments should not fund any scientific research whose consequences are unclear. (x2),0,0,0,0,0,0,0
111,Teachers’ salaries should be based on their students’ academic performance. (x2),0,0,0,0,0,0,0
112,"Educators should base their assessment of students' learning not on students' grasp of facts but on the ability to explain the ideas, trends, and concepts that those facts illustrate.",0,0,0,0,0,0,0
113,Does the past help? (3),0,0,0,0,0,0,0
114,Claim: It is no longer possible for a society to regard any living man or woman as a hero.Reason: The reputation of anyone who is subjected to media scrutiny will eventually be diminished.,0,0,0,0,0,0,0
115,Heroes and role models reveal a society’s highest ideals (2),0,0,0,0,0,0,0
116,Claim: Imagination is a more valuable asset than experience.;Reason: People who lack experience are free to imagine what is possible without the constraints of established habits and attitudes.,0,0,0,0,0,0,0
117,Critical judgment of work in any given field has little value unless it comes from someone who is an expert in that field.,0,0,0,0,0,0,0
118,"Claim: Any piece of information referred to as a fact should be mistrusted, since it may well be proven false in the future.Reason: Much of the information that people assume is factual actually turns out to be inaccurate.",0,0,0,0,0,0,0
119,Teachers' salaries should be based on their students' academic performance.,0,0,0,0,0,0,0
120,"Claim: The surest indicator of a great nation must be the achievements of its rulers, artists, or scientists. Reason: Great achievements by a nation’s rulers, artists, or scientists will ensure a good life for the majority of that nation’s people.",0,0,0,0,0,0,0
121,Educational institutions should actively encourage their students to choose fields of study that will prepare them for lucrative careers.,0,0,0,0,0,0,0
122,Claim: Universities should require every student to take a variety of courses outside the student's major field of study.Reason: Acquiring knowledge of various academic disciplines is the best way to become truly educated.,0,0,0,0,0,0,0
123,The effectiveness of a country’s leaders is best measured by examining the well-being of that country’s citizens. (x2),0,0,0,0,0,0,0
124,Some people claim that the goal of politics should be the pursuit of an ideal. Others argue that the goal should be finding common ground and reaching reasonable consensus.,0,0,0,0,0,0,0
125,It is primarily in cities that a nation’s cultural traditions are generated and preserved.,0,0,0,0,0,0,0
126,People’s attitudes are determined more by their immediate situation or surroundings than by society as a whole.,0,0,0,0,0,0,0
127,Some people believe that universities should require every student to take a variety of courses outside the student's field of study. Others believe that universities should not force students to take any courses other than those that will help prepare them for jobs in their chosen fields.,0,0,0,0,0,0,0
128,Claim: The best way to understand the character of a society is to examine the character of the men and women that the society chooses as its heroes or its role models. Reason: Heroes and role models reveal a society’s highest ideals.,0,0,0,0,0,0,0
129,People’s behavior is largely determined by forces not of their own making. (x2),0,0,0,0,0,0,0
130,Colleges and universities should require their students to spend at least one semester studying in a foreign country. (x4),0,0,0,0,0,0,0
131,"Claim: Any piece of information referred to as a fact should be mistrusted, since it may well be proven false in the future. Reason: Much of the information that people assume is factual actually turns out to be inaccurate.",0,0,0,0,0,0,0
132,Critical judgment of work in any given field has little value unless it comes from someone who is an expert in that field. (x2),0,0,0,0,0,0,0
133,Claim: The best way to understand the character of a society is to examine the character of the men and women that the society chooses as its heroes or its role models.Reason: Heroes and role models reveal a society's highest ideals.,0,0,0,0,0,0,0
134,Teachers' salaries should be based on the academic performance of their students.,0,0,0,0,0,0,0
135,"In any field—business, politics, education, government—those in power should be required to step down after five years.",0,0,0,0,0,0,0
136,Claim: Governments must ensure that their major cities receive the financial support they need in order to thrive.;Reason: It is primarily in cities that a nation’s cultural traditions are preserved and generated.,0,0,0,0,0,0,0
137,Education restrains the mind? (x2),0,0,0,0,0,0,0
138,The best way to teach is to praise positive actions and ignore negative ones.,0,0,0,0,0,0,0
139,The best test of an argument is the argument’s ability to convince someone with an opposing viewpoint.,0,0,0,0,0,0,0
140,We can learn much more from people whose views we share than from people whose views contradict our own.,0,0,0,0,0,0,0
141,All parents should be required to volunteer time to their children's schools.,0,0,0,0,0,0,0
142,Colleges and universities should require their students to spend at least one semester studying in a foreign country.,0,0,0,0,0,0,0
143,"Claim: Nations should suspend government funding for the arts when significant numbers of their citizens are hungry or unemployed.;Reason: It is inappropriate—and, perhaps, even cruel—to use public resources to fund the arts when people’s basic needs are not being met.",0,0,0,0,0,0,0
144,Some people claim that a nation's government should preserve its wilderness areas in their natural state. Others argue that these areas should be developed for potential economic gain.,0,0,0,0,0,0,0
145,It is primarily in cities that a nation's cultural traditions are generated and preserved.,0,0,0,0,0,0,0
146,Claim: The best test of an argument is its ability to convince someone with an opposing viewpoint.;Reason: Only by being forced to defend an idea against the doubts and contrasting views of others does one really discover the value of that idea.,0,0,0,0,0,0,0
147,Learning approach (3),0,0,0,0,0,0,0
148,Claim: Many problems of modern society cannot be solved by laws and the legal system.Reason: Laws cannot change what is in people's hearts or minds.,0,0,0,0,0,0,0
149,The primary goal of technological advancement should be to increase people's efficiency so that they have more leisure time.,0,0,0,0,0,0,0
150,Universities should require every student to take a variety of courses outside the student’s field of study. (x3),0,0,0,0,0,0,0
151,Claim: Colleges and universities should specify all required courses and eliminate elective courses in order to provide clear guidance for students.;Reason: College students—like people in general—prefer to follow directions rather than make their own decisions.,0,0,0,0,0,0,0
152,Student’s rights (4),0,0,0,0,0,0,0
153,Claim: Knowing about the past cannot help people to make important decisions today.;Reason: We are not able to make connections between current events and past events until we have some distance from both.,0,0,0,0,0,0,0
154,Claim: Major policy decisions should always be left to politicians and other government experts.;Reason: Politicians and other government experts are more informed and thus have better judgment and perspective than do members of the general public.,0,0,0,0,0,0,0
155,It is more harmful to compromise one’s own beliefs than to adhere to them.,0,0,0,0,0,0,0
156,"The general welfare of a nation’s people is a better indication of that nation’s greatness than are the achievements of its rulers, artists, or scientists.",0,0,0,0,0,0,0
157,Educational institutions should actively encourage their students to choose fields of study in which jobs are plentiful.,0,0,0,0,0,0,0
158,Claim: We can usually learn much more from people whose views we share than from those whose views contradict our own.;Reason: Disagreement can cause stress and inhibit learning.,0,0,0,0,0,0,0
159,Claim: The best test of an argument is its ability to convince someone with an opposing viewpoint.Reason: Only by being forced to defend an idea against the doubts and contrasting views of others does one really discover the value of that idea.,0,0,0,0,0,0,0
160,Educators should take students’ interests into account when planning the content of the courses they teach.,0,0,0,0,0,0,0
161,Claim: Knowing about the past cannot help people to make important decisions today.Reason: We are not able to make connections between current events and past events until we have some distance from both.,0,0,0,0,0,0,0
162,"In most professions and academic fields, imagination is more important than knowledge.",0,0,0,0,0,0,0
163,College students should base their choice of a field of study on the availability of jobs in that field. (x2),0,0,0,0,0,0,0
164,Educational institutions have a responsibility to dissuade students from pursuing fields of study in which they are unlikely to succeed.,0,0,0,0,0,0,0
165,Environment (3),0,0,0,0,0,0,0
166,"Claim: The surest indicator of a great nation is not the achievements of its rulers, artists, or scientists.;Reason: The surest indicator of a great nation is actually the welfare of all its people.",0,0,0,0,0,0,0
167,Claim: It is no longer possible for a society to regard any living man or woman as a hero. Reason: The reputation of anyone who is subjected to media scrutiny will eventually be diminished.,0,0,0,0,0,0,0
168,"In most professions and academic fields, imagination is more important than knowledge. (x2)",0,0,0,0,0,0,0
169,"Educators should base their assessment of students’ learning not on students’ grasp of facts but on the ability to explain the ideas, trends, and concepts that those facts illustrate.",0,0,0,0,0,0,0
170,Educational institutions should actively encourage their students to choose fields of study that will prepare them for lucrative careers. (x2),0,0,0,0,0,0,0
171,Government officials should rely on their own judgment rather than unquestioningly carry out the will of the people they serve. (x2),0,0,0,0,0,0,0
172,"Claim: The surest indicator of a great nation is not the achievements of its rulers, artists, or scientists.Reason: The surest indicator of a great nation is actually the welfare of all its people.",0,0,0,0,0,0,0
173,Public’s opinion (5),0,0,0,0,0,0,0
174,Claim: Imagination is a more valuable asset than experience.Reason: People who lack experience are free to imagine what is possible without the constraints of established habits and attitudes.,0,0,0,0,0,0,0
175,"Claim: In any field—business, politics, education, government—those in power should step down after five years.Reason: The surest path to success for any enterprise is revitalization through new leadership.",0,0,0,0,0,0,0
176,Job vs interest (6),0,0,0,0,0,0,0
177,Government and the arts (3),0,0,0,0,0,0,0
178,Universities should require every student to take a variety of courses outside the student's field of study.,0,0,0,0,0,0,0
179,Claim: We can usually learn much more from people whose views we share than from those whose views contradict our own.Reason: Disagreement can cause stress and inhibit learning.,0,0,0,0,0,0,0
180,Government officials should rely on their own judgment rather than unquestioningly carry out the will of the people whom they serve.,0,0,0,0,0,0,0
181,All college and university students would benefit from spending at least one semester studying in a foreign country.,0,0,0,0,0,0,0
182,"Young people should be encouraged to pursue long-term, realistic goals rather than seek immediate fame and recognition. (x2)",0,0,0,0,0,0,0
183,People's attitudes are determined more by their immediate situation or surroundings than by society as a whole.,0,0,0,0,0,0,0
184,Claim: Knowing about the past cannot help people to make important decisions today.Reason: The world today is significantly more complex than it was even in the relatively recent past.,0,0,0,0,0,0,0
185,Claim: Governments must ensure that their major cities receive the financial support they need in order to thrive.Reason: It is primarily in cities that a nation's cultural traditions are preserved and generated.,0,0,0,0,0,0,0
186,College students should base their choice of a field of study on the availability of jobs in that field.,0,0,0,0,0,0,0
187,The best test of an argument is the argument's ability to convince someone with an opposing viewpoint.,0,0,0,0,0,0,0
188,Governments should not fund any scientific research whose consequences are unclear.,0,0,0,0,0,0,0
189,Positive reinforcement (2),0,0,0,0,0,0,0
190,The best way to solve environmental problems caused by consumer-generated waste is for towns and cities to impose strict limits on the amount of trash they will accept from each household.,0,0,0,0,0,0,0
191,The best way to teach is to praise positive actions and ignore negative ones. (x2),0,0,0,0,0,0,0
192,Claim: Universities should require every student to take a variety of courses outside the student’s major field of study. Reason: Acquiring knowledge of various academic disciplines is the best way to become truly educated.,0,0,0,0,0,0,0
193,We can usually learn much more from people whose views we share than from people whose views contradict our own.,0,0,0,0,0,0,0
194,"Claim: When planning courses, educators should take into account the interests and suggestions of their students.;Reason: Students are more motivated to learn when they are interested in what they are studying.",0,0,0,0,0,0,0
